id,time,latitude,longitude,wifi,addr
5,02MAY2013:15:54:53,43.70413080,-72.29072750,in[massrow],Mass Parking Lot; 14; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
5,02MAY2013:16:14:53,43.70409130,-72.29069830,in[massrow],Mass Parking Lot; 14; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
5,02MAY2013:16:34:53,43.70407920,-72.29068030,in[massrow],Mass Parking Lot; 14; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
5,02MAY2013:16:54:53,43.70408330,-72.29067960,in[massrow],Mass Parking Lot; 14; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
5,02MAY2013:17:14:53,43.70410310,-72.29066810,in[massrow],Mass Parking Lot; 14; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
5,02MAY2013:17:34:53,43.70410420,-72.29072650,in[massrow],Mass Parking Lot; 14; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
5,02MAY2013:17:54:53,43.70409650,-72.29073270,in[massrow],Mass Parking Lot; 14; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
5,02MAY2013:18:14:53,43.70412030,-72.29072180,in[massrow],Mass Parking Lot; 14; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
5,02MAY2013:18:34:53,43.70413130,-72.29067520,in[massrow],Mass Parking Lot; 14; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
5,02MAY2013:18:54:53,43.70413070,-72.29068640,in[massrow],Mass Parking Lot; 14; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
5,02MAY2013:19:14:53,43.70412390,-72.29065910,in[massrow],Mass Parking Lot; 14; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
5,02MAY2013:19:34:53,43.70409620,-72.29066370,in[massrow],Mass Parking Lot; 14; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
5,02MAY2013:19:54:53,43.70410000,-72.29062280,in[massrow],North Massachusetts Hall; 14; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
5,02MAY2013:20:14:53,43.70410840,-72.29062950,in[massrow],North Massachusetts Hall; 14; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
5,02MAY2013:20:34:53,43.70409270,-72.29065680,in[massrow],Mass Parking Lot; 14; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
5,02MAY2013:20:54:53,43.70416240,-72.29059550,in[massrow],North Massachusetts Hall; 14; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
5,02MAY2013:21:14:53,43.70407640,-72.29071020,in[massrow],Mass Parking Lot; 14; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
5,02MAY2013:21:34:53,43.70407250,-72.29074940,in[massrow],Mass Parking Lot; 14; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
5,02MAY2013:21:54:53,43.70404170,-72.29074830,in[massrow],Mass Parking Lot; 14; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
5,02MAY2013:22:14:53,43.70408380,-72.29073620,in[massrow],Mass Parking Lot; 14; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
5,02MAY2013:22:34:53,43.70415080,-72.29069260,in[massrow],North Massachusetts Hall; 14; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
5,02MAY2013:22:54:53,43.70409340,-72.29070850,in[massrow],Mass Parking Lot; 14; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
5,02MAY2013:23:14:53,43.70409410,-72.29070920,in[massrow],Mass Parking Lot; 14; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
5,02MAY2013:23:34:53,43.70407860,-72.29072360,in[massrow],Mass Parking Lot; 14; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
