id,time,latitude,longitude,wifi,addr
52,28MAR2013:04:56:57,43.70719060,-72.28891590,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:05:16:57,43.70720460,-72.28893720,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:05:36:57,43.70717900,-72.28898900,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:05:56:58,43.70719600,-72.28890990,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:06:16:45,43.70717512,-72.28904730,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:06:36:57,43.70718850,-72.28891720,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:06:56:57,43.70716120,-72.28891670,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:07:16:57,43.70716940,-72.28898450,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:07:36:57,43.70715620,-72.28889190,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:07:56:58,43.70716840,-72.28898530,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:08:16:57,43.70718170,-72.28893150,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:08:36:57,43.70716400,-72.28888650,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:08:56:57,43.70714580,-72.28898150,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:09:16:57,43.70718720,-72.28899830,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:09:36:45,43.70719038,-72.28902138,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:09:57:00,43.70903860,-72.28409790,,Class of 1978 Life Sciences Center; 78; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:10:16:57,43.70830550,-72.28442730,,Dana Circle Parking Lot; 64; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:10:36:57,43.70835680,-72.28440380,,Dana Circle Parking Lot; 64; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:10:56:57,43.70838310,-72.28440680,,Dana Circle Parking Lot; 64; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:11:16:57,43.70832810,-72.28439290,,Dana Circle Parking Lot; 64; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:11:36:57,43.70833080,-72.28438900,,Dana Circle Parking Lot; 64; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:11:56:57,43.70831030,-72.28436310,,Dana Circle Parking Lot; 64; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:12:16:24,43.70881730,-72.28420180,,Class of 1978 Life Sciences Center; 78; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:12:36:57,43.70845630,-72.28439530,,Dana Circle Parking Lot; 64; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:12:56:58,43.70687230,-72.28735890,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:13:16:57,43.70315450,-72.29102740,,Class of 1953 Commons; 6; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:13:36:57,43.70319330,-72.29079030,,Class of 1953 Commons; 6; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:13:56:57,43.70716280,-72.28889030,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:14:16:57,43.70509840,-72.28930070,,Baker Memorial Library; 3; Wentworth Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:14:36:57,43.70717440,-72.28890430,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:14:56:57,43.70718440,-72.28894910,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:15:16:57,43.70711860,-72.28894000,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:15:36:57,43.70720550,-72.28893350,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:15:56:57,43.70712070,-72.28888840,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
52,28MAR2013:16:16:57,43.70711730,-72.28893980,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
