id,time,latitude,longitude,wifi,addr
9,27MAR2013:00:08:32,43.70715430,-72.28886330,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:00:28:32,43.70716400,-72.28886740,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:00:48:32,43.70716120,-72.28893660,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:01:08:36,43.70722339,-72.28873765,,Native American House; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:01:28:33,43.70717110,-72.28869230,,Native American House; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:01:48:32,43.70716390,-72.28874070,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:02:08:32,43.70716430,-72.28881920,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:02:28:35,43.70702993,-72.28866663,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:02:48:32,43.70715830,-72.28872090,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:03:08:32,43.70717430,-72.28878930,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:03:28:32,43.70717050,-72.28874820,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:03:48:32,43.70717110,-72.28873810,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:04:08:32,43.70714180,-72.28875550,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:04:28:32,43.70715920,-72.28880850,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:04:48:32,43.70716870,-72.28879510,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:05:08:32,43.70716480,-72.28870910,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:05:28:32,43.70715290,-72.28867250,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:05:48:32,43.70715510,-72.28880980,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:06:08:32,43.70715360,-72.28877440,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:06:28:34,43.70727826,-72.28870140,,Native American House; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:06:48:32,43.70714350,-72.28881710,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:07:08:34,43.70721460,-72.28874896,,Native American House; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:07:28:34,43.70719267,-72.28875196,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:07:48:32,43.70717990,-72.28882830,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:08:08:34,43.70704889,-72.28891638,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:08:28:32,43.70716250,-72.28876940,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:08:48:32,43.70716110,-72.28882080,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:09:08:34,43.70583740,-72.28876860,,Berry Library; 25; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:09:28:32,43.70585950,-72.28875660,in[baker-berry],Berry Library; 25; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:09:48:32,43.70589600,-72.28874620,in[baker-berry],Berry Library; 25; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:10:08:33,43.70865530,-72.28365110,,Class of 1978 Life Sciences Center; 78; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:10:28:32,43.70867230,-72.28361610,in[lsb],Class of 1978 Life Sciences Center; 78; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:10:48:32,43.70869140,-72.28363150,in[lsb],Class of 1978 Life Sciences Center; 78; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:11:08:33,43.70868650,-72.28363290,,Class of 1978 Life Sciences Center; 78; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:11:28:09,43.70716940,-72.28893970,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:11:48:32,43.70709830,-72.28896980,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:12:08:32,43.70714880,-72.28895210,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:12:28:34,43.70526140,-72.28814240,,Baker Memorial Library; 3; Wentworth Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:12:48:33,43.70396820,-72.28713840,,Dartmouth Hall; 23; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:13:08:32,43.70399750,-72.28703470,near[dartmouth_hall; wentworth; fayerweather; ],Dartmouth Hall; 23; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:13:28:32,43.70397760,-72.28707750,,Dartmouth Hall; 23; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:13:48:33,43.70284090,-72.28996300,,Collis Student Center; 2; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:14:08:32,43.70285710,-72.29002520,in[hopkins],Collis Student Center; 2; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:14:28:33,43.70284760,-72.29006040,in[hopkins],Collis Student Center; 2; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:14:48:31,43.70430424,-72.28963368,,Parkhurst Hall; 14; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:15:08:32,43.70711060,-72.28891270,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:15:28:32,43.70717110,-72.28894120,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:15:48:32,43.70710540,-72.28892870,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:16:08:32,43.70710510,-72.28896090,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:16:28:32,43.70710300,-72.28894890,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:16:48:32,43.70709040,-72.28901120,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:17:08:32,43.70710560,-72.28890970,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:17:28:32,43.70716420,-72.28894180,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:17:48:33,43.70713460,-72.28884170,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:18:28:29,43.70191152,-72.28396975,,Memorial Field Race Track; Crosby Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:18:48:29,43.70201424,-72.28406435,,Memorial Field Race Track; Crosby Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:19:08:28,43.70205327,-72.28406213,,East Stands; 4; Crosby Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:19:28:29,43.70192914,-72.28415024,,Memorial Field Race Track; Crosby Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:19:48:29,43.70192341,-72.28413585,,Memorial Field Race Track; Crosby Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:20:08:29,43.70194548,-72.28370559,,East Stands; 4; Crosby Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:20:28:28,43.70186438,-72.28369695,,East Stands; 4; Crosby Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:21:08:33,43.70164740,-72.28803760,,Hopkins Center for the Arts; 4; East Wheelock Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:21:28:32,43.70161630,-72.28801530,,Hopkins Center for the Arts; 4; East Wheelock Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:21:48:29,43.70543845,-72.28946992,,Carpenter Hall; 23; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:22:08:32,43.70710390,-72.28888320,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:22:28:32,43.70715070,-72.28891650,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:22:48:32,43.70714690,-72.28891260,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:23:08:32,43.70712980,-72.28894930,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
9,27MAR2013:23:28:32,43.70714770,-72.28878930,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
