id,time,latitude,longitude,wifi,addr
43,27MAR2013:14:52:17,43.70659710,-72.28701920,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,27MAR2013:15:17:34,43.70658440,-72.28704680,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:11:24:52,43.70660510,-72.28698000,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:11:44:58,43.70662310,-72.28700250,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:12:04:58,43.70661580,-72.28699690,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:12:24:58,43.70660690,-72.28696840,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:12:44:58,43.70659580,-72.28702960,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:13:04:58,43.70661600,-72.28696150,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:13:24:58,43.70661910,-72.28696990,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:13:44:58,43.70663410,-72.28704380,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:14:04:58,43.70662090,-72.28700060,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:14:24:58,43.70671410,-72.28734030,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:14:44:58,43.70667570,-72.28730490,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:15:24:59,43.70568310,-72.29140520,,Butterfield Hall; Fahey Path; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:15:44:58,43.70573780,-72.29134430,in[butterfield],Butterfield Hall; Fahey Path; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:16:04:58,43.70572450,-72.29135700,,Butterfield Hall; Fahey Path; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:16:24:58,43.70573170,-72.29135530,near[butterfield; hopkins; ],Butterfield Hall; Fahey Path; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:16:44:58,43.70559630,-72.29135060,in[butterfield],Butterfield Hall; Fahey Path; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:17:04:58,43.70536780,-72.29135870,in[hopkins],Fahey Hall; Tuck Mall; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:17:24:58,43.70578860,-72.29137740,in[butterfield],Butterfield Parking Lot; 11; Tuck Mall; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:17:45:01,43.70857390,-72.28716000,,5 Rope Ferry Road; 5; Rope Ferry Road; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:18:04:59,43.70871530,-72.28705790,,Dick's House; 7; Rope Ferry Road; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:18:24:58,43.70871360,-72.28703750,in[ropeferry],Dick's House; 7; Rope Ferry Road; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:18:44:59,43.70546960,-72.29111660,,Butterfield Hall; Fahey Path; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:19:04:59,43.70294790,-72.29085320,,Class of 1953 Commons; 6; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:19:24:59,43.70178880,-72.28937480,,Canoe Club; 27; South Main Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:19:44:58,43.70536780,-72.29135850,in[hopkins],Fahey Hall; Tuck Mall; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:20:04:58,43.70549800,-72.29135040,in[hopkins],Fahey Hall; Tuck Mall; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:20:24:58,43.70581040,-72.29143850,in[butterfield],Butterfield Parking Lot; 11; Tuck Mall; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:20:44:58,43.70573830,-72.29137040,in[butterfield],Butterfield Hall; Fahey Path; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:21:04:58,43.70566840,-72.29138440,near[butterfield; hopkins; occum; ],Butterfield Hall; Fahey Path; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:21:24:58,43.70576100,-72.29132540,near[hopkins; butterfield; ],Butterfield Hall; Fahey Path; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:21:44:58,43.70565690,-72.29133940,near[hopkins; butterfield; ],Butterfield Hall; Fahey Path; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:22:04:58,43.70536800,-72.29135460,near[butterfield; hopkins; ],Fahey Hall; Tuck Mall; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:22:24:58,43.70561100,-72.29135180,near[butterfield; hopkins; ],Butterfield Hall; Fahey Path; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:22:44:58,43.70569920,-72.29137440,near[butterfield; hopkins; occum; ],Butterfield Hall; Fahey Path; Hanover; Grafton County; New Hampshire; 03755; United States of America
43,01APR2013:23:04:58,43.70576780,-72.29137360,near[butterfield; fahey-mclane; hopkins; ],Butterfield Hall; Fahey Path; Hanover; Grafton County; New Hampshire; 03755; United States of America
