id,time,latitude,longitude,wifi,addr
16,27MAR2013:13:48:42,43.70369300,-72.29033630,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:14:08:42,43.70368160,-72.29032760,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:14:28:42,43.70367100,-72.29029210,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:14:48:42,43.70364820,-72.29031570,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:15:08:42,43.70358980,-72.29023890,in[massrow],McNutt Hall; 10; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:15:28:44,43.70510880,-72.28916950,,Baker Memorial Library; 3; Wentworth Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:15:48:46,43.70668710,-72.28713990,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:16:08:42,43.70672800,-72.28717210,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:16:28:42,43.70671040,-72.28714480,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:16:48:42,43.70670330,-72.28716420,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:16:48:43,43.70670360,-72.28716520,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:17:48:42,43.70316390,-72.29077540,in[53_commons],Class of 1953 Commons; 6; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:18:08:42,43.70662710,-72.28713850,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:18:28:42,43.70662940,-72.28711990,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:18:48:42,43.70661330,-72.28711060,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:19:08:44,43.70663690,-72.28709160,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:19:28:43,43.70662160,-72.28707880,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:19:48:43,43.70662280,-72.28705300,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:20:08:43,43.70662400,-72.28709590,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:20:28:43,43.70661460,-72.28709880,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:20:48:43,43.70364480,-72.29023760,in[massrow],McNutt Hall; 10; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:21:08:43,43.70367470,-72.29026920,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:21:28:43,43.70369130,-72.29027450,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:21:48:43,43.70369200,-72.29025870,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:22:08:43,43.70372430,-72.29047580,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:22:28:43,43.70368810,-72.29029990,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:22:48:43,43.70377340,-72.29042430,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:23:08:43,43.70369520,-72.29030430,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:23:28:43,43.70367610,-72.29029120,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,27MAR2013:23:48:45,43.70502111,-72.29058862,,Hitchcock Hall; 18; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:00:08:45,43.70707140,-72.29091920,,Little Hall; 4.5; Choate Road; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:00:28:45,43.70720580,-72.29076460,,Little Hall; 4.5; Choate Road; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:00:48:43,43.70707680,-72.29084180,in[little_hall],Little Hall; 4.5; Choate Road; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:01:08:43,43.70367480,-72.29031400,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:01:28:43,43.70370850,-72.29037120,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:01:48:44,43.70376280,-72.29052640,,MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:02:08:43,43.70365470,-72.29030280,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:02:28:43,43.70366700,-72.29027760,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:02:48:43,43.70366540,-72.29027570,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:03:08:43,43.70367580,-72.29030170,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:03:28:43,43.70367630,-72.29031520,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:03:48:43,43.70364970,-72.29029820,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:04:08:43,43.70367460,-72.29034980,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:04:28:43,43.70365390,-72.29028510,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:04:48:43,43.70367240,-72.29029220,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:05:08:43,43.70363220,-72.29028040,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:05:28:43,43.70365540,-72.29030080,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:05:48:43,43.70367800,-72.29030910,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:06:08:43,43.70366160,-72.29026510,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:06:28:43,43.70364700,-72.29027730,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:06:48:43,43.70364450,-72.29027530,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:07:08:43,43.70366680,-72.29031170,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:07:28:43,43.70365320,-72.29028010,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:07:48:43,43.70367620,-72.29030440,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:08:08:43,43.70366420,-72.29030300,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:08:28:43,43.70363360,-72.29025210,in[massrow],McNutt Hall; 10; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:08:48:43,43.70365020,-72.29029800,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:09:08:43,43.70365740,-72.29028620,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:09:28:43,43.70364150,-72.29026320,in[massrow],McNutt Hall; 10; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:09:48:43,43.70367730,-72.29029370,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:10:08:43,43.70364640,-72.29022580,in[massrow],McNutt Hall; 10; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:10:28:43,43.70363400,-72.29026640,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:10:48:43,43.70364980,-72.29027370,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:11:08:43,43.70366600,-72.29025160,in[massrow],McNutt Hall; 10; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:11:28:43,43.70367560,-72.29028920,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:11:48:40,43.70595018,-72.28973673,,Rockefeller Center; 2; Webster Avenue; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:12:08:43,43.70866230,-72.28363240,in[lsb],Class of 1978 Life Sciences Center; 78; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:12:28:43,43.70864010,-72.28359990,in[lsb],Class of 1978 Life Sciences Center; 78; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:12:48:43,43.70867490,-72.28363040,in[lsb],Class of 1978 Life Sciences Center; 78; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:13:08:43,43.70669120,-72.28718490,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:13:28:44,43.70671850,-72.28733590,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:13:47:53,43.70561714,-72.28716184,,Steele Hall; 39; College Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:15:48:43,43.70669160,-72.28712700,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:16:08:45,43.70686690,-72.28698740,,Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:16:28:43,43.70685140,-72.28699260,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:16:48:43,43.70687320,-72.28700190,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:17:08:43,43.70689640,-72.28689420,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:17:28:43,43.70686940,-72.28693800,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:17:48:43,43.70690680,-72.28694480,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:18:08:43,43.70693300,-72.28695860,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:18:28:43,43.70689980,-72.28691270,in[sudikoff],Sudikoff Hall; 9; Maynard Street; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:18:48:43,43.70314750,-72.29072280,in[53_commons],Class of 1953 Commons; 6; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:19:08:43,43.70314120,-72.29072300,in[53_commons],Class of 1953 Commons; 6; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:19:28:43,43.70313740,-72.29074360,in[53_commons],Class of 1953 Commons; 6; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:19:48:43,43.70362580,-72.29022380,in[massrow],McNutt Hall; 10; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:20:28:44,43.70710850,-72.28897050,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:20:48:43,43.70713090,-72.28887220,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:21:08:43,43.70709900,-72.28892530,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:21:28:43,43.70712720,-72.28898250,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:21:48:43,43.70708230,-72.28889980,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:22:08:43,43.70710700,-72.28891940,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:22:28:43,43.70709870,-72.28892460,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:22:48:43,43.70714520,-72.28891620,in[north-main],Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:23:08:46,43.70708155,-72.28906676,,Alpha Theta Coeducational Fraternity; 33; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:23:28:43,43.70370430,-72.29034550,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,28MAR2013:23:48:43,43.70370790,-72.29043700,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:00:08:43,43.70363270,-72.29023960,in[massrow],McNutt Hall; 10; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:00:28:43,43.70366440,-72.29031710,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:00:48:43,43.70369220,-72.29034970,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:01:08:43,43.70368760,-72.29031260,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:01:28:43,43.70366460,-72.29031320,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:01:48:43,43.70366450,-72.29027760,,MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:02:08:43,43.70366510,-72.29027650,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:02:28:43,43.70368400,-72.29039390,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:02:48:43,43.70366990,-72.29031270,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:03:08:43,43.70368950,-72.29035990,,MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:03:28:43,43.70369710,-72.29039740,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:03:48:43,43.70370070,-72.29036240,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:04:08:43,43.70367450,-72.29025500,in[massrow],McNutt Hall; 10; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:04:28:43,43.70368360,-72.29025310,in[massrow],McNutt Hall; 10; N Main St; Hanover; Grafton County; New Hampshire; 03755; United States of America
16,29MAR2013:04:48:43,43.70367760,-72.29029430,in[massrow],MIddle Massachusetts Hall; 12; Mass Row; Hanover; Grafton County; New Hampshire; 03755; United States of America
